0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,||,0.0,1,0.0
0.0,1,0.0,0.0,1,0.0,0.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,||,0.0,0.0,1
0.0,0.0,1,1,0.0,0.0,0.0,0.0,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,2.0,0.0,||,0.0,1,0.0
0.0,1,0.0,1,0.0,0.0,1,0.0,1,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,3.0,1.0,||,0.0,1,0.0
0.0,1,0.0,1,0.0,0.0,1,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.75,0.25,4.0,2.0,||,0.0,1,0.0
0.0,1,0.0,1,0.0,0.0,1,0.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.8,0.2,5.0,3.0,||,0.0,1,0.0
0.0,1,0.0,1,0.0,0.0,1,0.0,4.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.8333333333333334,0.16666666666666666,6.0,4.0,||,0.0,1,0.0
0.0,1,0.0,1,0.0,0.0,1,0.0,5.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.8571428571428571,0.14285714285714285,7.0,5.0,||,0.0,1,0.0
0.0,1,0.0,1,0.0,0.0,1,0.0,6.0,6.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.875,0.125,8.0,6.0,||,0.0,1,0.0
0.0,1,0.0,1,0.0,0.0,1,0.0,7.0,7.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.8888888888888888,0.1111111111111111,9.0,7.0,||,0.0,1,0.0
0.0,1,0.0,1,0.0,0.0,1,0.0,8.0,8.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9,0.1,10.0,8.0,||,0.0,1,0.0
0.0,1,0.0,1,0.0,0.0,1,0.0,9.0,9.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9090909090909091,0.09090909090909091,11.0,9.0,||,0.0,1,0.0
0.0,1,0.0,1,0.0,0.0,1,0.0,10.0,10.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9166666666666666,0.08333333333333333,12.0,10.0,||,0.0,1,0.0
0.0,1,0.0,1,0.0,0.0,1,0.0,11.0,11.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9230769230769231,0.07692307692307693,13.0,11.0,||,0.0,1,0.0
0.0,1,0.0,1,0.0,0.0,1,0.0,12.0,12.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9285714285714286,0.07142857142857142,14.0,12.0,||,0.0,1,0.0
0.0,1,0.0,1,0.0,0.0,1,0.0,13.0,13.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9333333333333333,0.06666666666666667,15.0,13.0,||,0.0,1,0.0
0.0,1,0.0,1,0.0,0.0,1,0.0,14.0,14.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9375,0.0625,16.0,14.0,||,0.0,1,0.0
0.0,1,0.0,1,0.0,0.0,1,0.0,15.0,15.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9411764705882353,0.058823529411764705,17.0,15.0,||,0.0,1,0.0
0.0,1,0.0,1,0.0,0.0,1,0.0,16.0,16.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9444444444444444,0.05555555555555555,18.0,16.0,||,0.0,1,0.0
0.0,1,0.0,1,0.0,0.0,1,0.0,17.0,17.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9473684210526315,0.05263157894736842,19.0,17.0,||,0.0,1,0.0
